Blocks,Age,Faults,Time,Result,Output
7,1,0,372,0.081,0
7,0,0,320,0.036,0
2,11,20,65,0.211,0
8,0,0,308,0.043,0
4,6,3,121,0.396,0
7,5,0,346,0.653,1
8,4,0,389,0.459,0
8,3,0,270,0.407,0
7,2,0,372,0.164,0
7,1,0,320,0.092,0
2,12,20,65,0.247,0
8,1,0,308,0.108,0
4,7,3,121,0.516,0
8,0,0,388,0.035,0
8,5,0,389,0.653,1
8,4,0,270,0.623,0
7,3,0,372,0.281,0
7,2,0,320,0.187,0
2,13,20,65,0.287,0
8,2,0,308,0.213,0
4,8,3,121,0.652,0
8,1,0,388,0.087,0
9,0,0,421,0.036,0
8,5,0,270,0.884,1
7,4,0,372,0.429,0
7,3,0,320,0.318,0
2,14,20,65,0.329,0
8,3,0,308,0.363,0
4,9,3,121,0.804,1
8,2,0,388,0.175,0
9,1,0,421,0.09,0
9,0,0,293,0.048,0
7,5,0,372,0.612,0
7,4,0,320,0.489,0
2,15,20,65,0.374,0
8,4,0,308,0.557,0
5,0,3,178,0.011,0
8,3,0,388,0.299,0
9,2,0,421,0.179,0
9,1,0,293,0.12,0
7,6,0,372,0.828,1
7,5,0,320,0.698,0
2,16,20,65,0.423,0
8,5,0,308,0.793,0
5,1,3,178,0.031,0
8,4,0,388,0.458,0
9,3,0,421,0.305,0
9,2,0,293,0.241,0
8,0,0,429,0.031,0
7,6,0,320,0.944,1
2,17,20,65,0.474,0
8,6,0,308,1.073,1
5,2,3,178,0.065,0
8,5,0,388,0.653,0
9,4,0,421,0.466,0
9,3,0,293,0.409,0
8,1,0,429,0.079,0
8,0,0,349,0.037,0
2,18,20,65,0.528,0
9,0,0,346,0.042,0
5,3,3,178,0.112,0
8,6,0,388,0.883,1
9,5,0,421,0.663,0
9,4,0,293,0.626,0
8,2,0,429,0.16,0
8,1,0,349,0.095,0
2,19,20,65,0.585,0
9,1,0,346,0.105,0
5,4,3,178,0.173,0
9,0,0,424,0.036,0
9,6,0,421,0.896,1
9,5,0,293,0.89,0
8,3,0,429,0.274,0
8,2,0,349,0.192,0
2,20,20,65,0.645,0
9,2,0,346,0.209,0
5,5,3,178,0.248,0
9,1,0,424,0.087,0
10,0,0,491,0.034,0
9,6,0,293,1.201,1
8,4,0,429,0.419,0
8,3,0,349,0.325,0
2,21,20,65,0.707,0
9,3,0,346,0.356,0
5,6,3,178,0.336,0
9,2,0,424,0.176,0
10,1,0,491,0.085,0
10,0,0,324,0.047,0
8,5,0,429,0.597,0
8,4,0,349,0.5,0
2,22,20,65,0.773,1
9,4,0,346,0.546,0
5,7,3,178,0.438,0
9,3,0,424,0.301,0
10,2,0,491,0.169,0
10,1,0,324,0.118,0
8,6,0,429,0.808,1
8,5,0,349,0.713,0
3,0,20,103,0.002,0
9,5,0,346,0.778,0
5,8,3,178,0.553,0
9,4,0,424,0.462,0
10,3,0,491,0.288,0
10,2,0,324,0.236,0
9,0,0,456,0.032,0
8,6,0,349,0.965,1
3,1,20,103,0.006,0
9,6,0,346,1.052,1
5,9,3,178,0.682,0
9,5,0,424,0.658,0
10,4,0,491,0.44,0
10,3,0,324,0.401,0
9,1,0,456,0.082,0
9,0,0,377,0.037,0
3,2,20,103,0.013,0
10,0,0,396,0.04,0
5,10,3,178,0.824,0
9,6,0,424,0.889,1
10,5,0,491,0.626,0
10,4,0,324,0.613,0
9,2,0,456,0.166,0
9,1,0,377,0.096,0
3,3,20,103,0.023,0
10,1,0,396,0.101,0
5,11,3,178,0.98,1
10,0,0,448,0.036,0
10,6,0,491,0.846,0
10,5,0,324,0.873,0
9,3,0,456,0.283,0
9,2,0,377,0.195,0
3,4,20,103,0.035,0
10,2,0,396,0.202,0
6,0,3,212,0.011,0
10,1,0,448,0.091,0
10,7,0,491,1.1,0
10,6,0,324,1.179,1
9,4,0,456,0.434,0
9,3,0,377,0.332,0
3,5,20,103,0.05,0
10,3,0,396,0.341,0
6,1,3,212,0.031,0
10,2,0,448,0.181,0
10,8,0,491,1.386,1
11,0,0,404,0.042,0
9,5,0,456,0.617,0
9,4,0,377,0.507,0
3,6,20,103,0.068,0
10,4,0,396,0.522,0
6,2,3,212,0.065,0
10,3,0,448,0.309,0
11,0,0,521,0.034,0
11,1,0,404,0.105,0
9,6,0,456,0.835,1
9,5,0,377,0.724,0
3,7,20,103,0.089,0
10,5,0,396,0.744,0
6,3,3,212,0.112,0
10,4,0,448,0.473,0
11,1,0,521,0.086,0
11,2,0,404,0.21,0
10,0,0,489,0.032,0
9,6,0,377,0.979,1
3,8,20,103,0.112,0
10,6,0,396,1.006,1
6,4,3,212,0.173,0
10,5,0,448,0.674,0
11,2,0,521,0.171,0
11,3,0,404,0.356,0
10,1,0,489,0.083,0
10,0,0,395,0.039,0
3,9,20,103,0.138,0
11,0,0,452,0.038,0
6,5,3,212,0.248,0
10,6,0,448,0.911,1
11,3,0,521,0.291,0
11,4,0,404,0.545,0
10,2,0,489,0.168,0
10,1,0,395,0.099,0
3,10,20,103,0.168,0
11,1,0,452,0.096,0
6,6,3,212,0.336,0
11,0,0,488,0.036,0
11,4,0,521,0.445,0
11,5,0,404,0.775,1
10,3,0,489,0.287,0
10,2,0,395,0.2,0
3,11,20,103,0.199,0
11,2,0,452,0.19,0
6,7,3,212,0.438,0
11,1,0,488,0.089,0
11,5,0,521,0.633,1
12,0,0,431,0.042,0
10,4,0,489,0.439,0
10,3,0,395,0.34,0
3,12,20,103,0.234,0
11,3,0,452,0.325,0
6,8,3,212,0.553,0
11,2,0,488,0.179,0
12,0,0,584,0.033,0
12,1,0,431,0.104,0
10,5,0,489,0.625,1
10,4,0,395,0.522,0
3,13,20,103,0.271,0
11,4,0,452,0.498,0
6,9,3,212,0.682,0
11,3,0,488,0.306,0
12,1,0,584,0.082,0
12,2,0,431,0.209,0
11,0,0,520,0.033,0
10,5,0,395,0.744,1
3,14,20,103,0.311,0
11,5,0,452,0.709,0
6,10,3,212,0.825,1
11,4,0,488,0.468,0
12,2,0,584,0.165,0
12,3,0,431,0.355,0
11,1,0,520,0.084,0
11,0,0,427,0.038,0
3,15,20,103,0.354,0
11,6,0,452,0.958,1
7,0,3,251,0.011,0
11,5,0,488,0.667,0
12,3,0,584,0.28,0
12,4,0,431,0.543,0
11,2,0,520,0.17,0
11,1,0,427,0.099,0
3,16,20,103,0.4,0
12,0,0,480,0.038,0
7,1,3,251,0.03,0
11,6,0,488,0.902,1
12,4,0,584,0.429,0
12,5,0,431,0.772,0
11,3,0,520,0.29,0
11,2,0,427,0.199,0
3,17,20,103,0.448,0
12,1,0,480,0.096,0
7,2,3,251,0.064,0
12,0,0,533,0.035,0
12,5,0,584,0.61,0
12,6,0,431,1.043,1
11,4,0,520,0.445,0
11,3,0,427,0.34,0
3,18,20,103,0.499,0
12,2,0,480,0.191,0
7,3,3,251,0.11,0
12,1,0,533,0.087,0
12,6,0,584,0.823,1
13,0,0,465,0.041,0
11,5,0,520,0.632,0
11,4,0,427,0.519,0
3,19,20,103,0.553,0
12,3,0,480,0.325,0
7,4,3,251,0.17,0
12,2,0,533,0.176,0
13,0,0,610,0.033,0
13,1,0,465,0.103,0
11,6,0,520,0.855,1
11,5,0,427,0.74,0
3,20,20,103,0.609,0
12,4,0,480,0.499,0
7,5,3,251,0.243,0
12,3,0,533,0.3,0
13,1,0,610,0.083,0
13,2,0,465,0.205,0
12,0,0,569,0.032,0
11,6,0,427,1.001,1
3,21,20,103,0.669,0
12,5,0,480,0.71,0
7,6,3,251,0.329,0
12,4,0,533,0.459,0
13,2,0,610,0.167,0
13,3,0,465,0.349,0
12,1,0,569,0.083,0
12,0,0,453,0.039,0
3,22,20,103,0.731,1
12,6,0,480,0.96,1
7,7,3,251,0.429,0
12,5,0,533,0.654,0
13,3,0,610,0.284,0
13,4,0,465,0.533,0
12,2,0,569,0.167,0
